stockcode,stockname, SERIES, DATE OF LISTING, ISIN NUMBER, , ,,,,,,,
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-95,INE118A01012,,#N/A,MOSt M100 ETF,Finance - Investments,21.59,0.08,0.37,95,Banking/Finance
BAJFINANCE,Bajaj Finance Limited,EQ,1-Apr-03,INE296A01024,,#N/A,MAS Financial S,Finance - General,1007,3.6,0.36,"5,504",Banking/Finance
BALAJITELE,Balaji Telefilms Limited,EQ,22-Nov-00,INE794B01026,,#N/A,NBI Industrial,Finance - General,1686,5.85,0.35,414,Banking/Finance
BALAMINES,Balaji Amines Limited,EQ,5-Apr-07,INE050E01027,,#N/A,Cholamandalam,Finance - Leasing & Hire Purchase,370.55,1.25,0.34,"30,373",Banking/Finance
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-15,INE618N01014,,#N/A,Nalwa Sons,Finance - General,869.35,2.85,0.33,447,Banking/Finance
BALKRISHNA,Balkrishna Paper Mills Limited,BE,28-Jul-15,INE875R01011,,#N/A,Repco Home,Finance - Housing,256.5,0.8,0.31,"1,605",Banking/Finance
BALKRISIND,Balkrishna Industries Limited,EQ,27-Jan-06,INE787D01026,,#N/A,Kalyani Invest,Finance - Investments,1374.85,3.85,0.28,600,Banking/Finance
BALLARPUR,Ballarpur Industries Limited,BZ,31-Mar-08,INE294A01037,,#N/A,Williamson Mago,Finance - Investments,19.95,0.05,0.25,22,Banking/Finance
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,6-Jul-95,INE164A01016,,#N/A,IPRU NF100 ETF,Finance - Investments,147.33,0.36,0.24,28,Banking/Finance
BALPHARMA,Bal Pharma Limited,BE,8-May-06,INE083D01012,,#N/A,Bajaj Holdings,Finance - Investments,3068.85,6.6,0.22,"34,154",Banking/Finance
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,8-Feb-95,INE119A01028,,#N/A,MOSt NASDAQ 100,Finance - Investments,898.9,1.91,0.21,414,Banking/Finance
BANARBEADS,Banaras Beads Limited,EQ,7-Jul-95,INE655B01011,,#N/A,City Union Bank,Banks - Private Sector,177.2,0.35,0.2,"13,084",Banking/Finance
BANARISUG,Bannari Amman Sugars Limited,EQ,28-May-03,INE459A01010,,#N/A,Axis Bank,Banks - Private Sector,614.45,1.2,0.2,"188,083",Banking/Finance
BANCOINDIA,Banco Products (I) Limited,EQ,22-Dec-06,INE213C01025,,#N/A,Religare Enterp,Finance - Investments,69.15,0.1,0.14,"1,790",Banking/Finance
BANDHANBNK,Bandhan Bank Limited,EQ,27-Mar-18,INE545U01014,,#N/A,PNB Gilts,Finance - Investments,43.9,0.05,0.11,790,Banking/Finance
BANG,Bang Overseas Limited,EQ,20-Feb-08,INE863I01016,,#N/A,Tourism Finance,Finance - Term Lending Institutions,49.05,0.05,0.1,396,Banking/Finance
BANKA,Banka BioLoo Limited,EQ,29-Oct-20,INE862Y01015,,#N/A,Apollo Pipes,Plastics,650.95,0.35,0.05,853,Banking/Finance
BANKBARODA,Bank of Baroda,EQ,19-Feb-97,INE028A01039,,#N/A,Edelweiss EQ30,Finance - Investments,391.65,0.1,0.03,22,Banking/Finance
BANKINDIA,Bank of India,EQ,30-Apr-97,INE084A01016,,#N/A,Capri Global,Finance - General,294.25,0.05,0.02,"5,156",Banking/Finance
BANSWRAS,Banswara Syntex Limited,EQ,11-Apr-07,INE629D01012,,#N/A,Visagar Polytex,Textiles - Readymade Apparels,0.65,0,0,19,Banking/Finance
BARTRONICS,Bartronics India Limited,BZ,12-Jan-06,INE855F01034,,#N/A,Stampede Cap,Finance - Investments,0.5,0,0,11,Banking/Finance
BASF,BASF India Limited,EQ,17-May-95,INE373A01013,,#N/A,Centrum Capital,Finance - General,16.9,0,0,703,Banking/Finance
BASML,Bannari Amman Spinning Mills Limited,EQ,14-Nov-05,INE186H01014,,Indian Overseas Bank,IOB,Banks - Public Sector,11.5,0,0,"18,903",Banking/Finance
BATAINDIA,Bata India Limited,EQ,18-Jun-03,INE176A01028,,#N/A,Consol Finvest,Finance - General,38.1,0,0,123,Banking/Finance
BAYERCROP,Bayer Cropscience Limited,EQ,8-Jan-10,INE462A01022,,#N/A,UCO Bank,Banks - Public Sector,13.4,0,0,"13,291",Banking/Finance
BBL,Bharat Bijlee Limited,EQ,21-Nov-06,INE464A01028,,#N/A,Viji Finance,Finance - General,0.75,0,0,6,Banking/Finance
BBTC,Bombay Burmah Trading Corporation Limited,EQ,3-Apr-96,INE050A01025,,Housing Development Finance Corporation Limited,HDFC,Finance - Housing,2295.3,-0.6,-0.03,"413,121",Banking/Finance
BCG,Brightcom Group Limited,EQ,8-May-15,INE425B01027,,#N/A,AU Small Financ,Banks - Private Sector,920,-0.3,-0.03,"28,217",Banking/Finance
BCP,B.C. Power Controls Ltd,EQ,19-Aug-19,INE905P01028,,#N/A,Emkay Global,Finance - General,72.1,-0.05,-0.07,178,Banking/Finance
BDL,Bharat Dynamics Limited,EQ,23-Mar-18,INE171Z01018,,#N/A,HDFC AMC,Finance - Investments,2833.9,-4.7,-0.17,"60,343",Banking/Finance
BEARDSELL,Beardsell Limited,EQ,13-Jan-15,INE520H01022,,#N/A,Bajaj Finserv,Finance - Investments,8977,-18.05,-0.2,"142,858",Banking/Finance
BEDMUTHA,Bedmutha Industries Limited,EQ,14-Oct-10,INE844K01012,,#N/A,HDFC Bank,Banks - Private Sector,1380,-2.8,-0.2,"759,911",Banking/Finance
BEL,Bharat Electronics Limited,EQ,19-Jul-00,INE263A01024,,#N/A,PTC India Fin,Finance - Term Lending Institutions,21.6,-0.05,-0.23,"1,387",Banking/Finance
BEML,BEML Limited,EQ,5-Nov-03,INE258A01016,,#N/A,PNB Housing Fin,Finance - Housing,376.9,-1.15,-0.3,"6,339",Banking/Finance
BEPL,Bhansali Engineering Polymers Limited,EQ,21-Mar-05,INE922A01025,,#N/A,Bank of Mah,Banks - Public Sector,14.4,-0.05,-0.35,"9,447",Banking/Finance
BERGEPAINT,Berger Paints (I) Limited,EQ,24-Nov-99,INE463A01038,,#N/A,Dhanlaxmi Bank,Banks - Private Sector,13.6,-0.05,-0.37,344,Banking/Finance
BFINVEST,BF Investment Limited,EQ,14-Jan-11,INE878K01010,,#N/A,Nippon ETF Ha,Finance - Investments,354.5,-1.47,-0.41,16,Banking/Finance
BFUTILITIE,BF Utilities Limited,EQ,3-May-07,INE243D01012,,#N/A,Motilal Oswal,Finance - General,650.9,-2.95,-0.45,"9,561",Banking/Finance
BGRENERGY,BGR Energy Systems Limited,EQ,3-Jan-08,INE661I01014,,#N/A,ICICI Prudentia,Finance - General,496.4,-2.25,-0.45,"71,278",Banking/Finance
BHAGERIA,Bhageria Industries Limited,EQ,2-Mar-16,INE354C01027,,#N/A,Magma Fincorp,Finance - Leasing & Hire Purchase,41.3,-0.2,-0.48,"1,113",Banking/Finance
BHAGYANGR,Bhagyanagar India Limited,EQ,17-May-17,INE458B01036,,#N/A,South Ind Bk,Banks - Private Sector,9.75,-0.05,-0.51,"1,764",Banking/Finance
BHAGYAPROP,Bhagyanagar Properties Limited,EQ,20-Jul-17,INE363W01018,,#N/A,Can Fin Homes,Finance - Housing,486.65,-2.55,-0.52,"6,480",Banking/Finance
BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-Jan-17,INE474E01029,,Central Depository Services (India) Limited,CDSL,Finance - Investments,520,-3,-0.57,"5,434",Banking/Finance
BHARATFORG,Bharat Forge Limited,EQ,4-Apr-03,INE465A01025,,#N/A,IDBI Bank,Banks - Public Sector,40.75,-0.25,-0.61,"42,301",Banking/Finance
BHARATGEAR,Bharat Gears Limited,EQ,3-Apr-96,INE561C01019,,#N/A,Kotak Mahindra,Banks - Private Sector,1904.05,-16.35,-0.85,"376,961",Banking/Finance
BHARATRAS,Bharat Rasayan Limited,EQ,11-Oct-95,INE838B01013,,#N/A,Ganges Securiti,Finance - General,58.1,-0.5,-0.85,58,Banking/Finance
BHARATWIRE,Bharat Wire Ropes Limited,EQ,1-Apr-16,INE316L01019,,#N/A,JSW Holdings,Finance - Investments,3450,-31.45,-0.9,"3,829",Banking/Finance
BHARTIARTL,Bharti Airtel Limited,EQ,15-Feb-02,INE397D01024,,#N/A,Paisalo Digital,Finance - Investments,451.9,-5.05,-1.11,"1,911",Banking/Finance
BHEL,Bharat Heavy Electricals Limited,EQ,11-Nov-03,INE257A01026,,#N/A,Alankit,Miscellaneous,17.1,-0.2,-1.16,244,Banking/Finance
BIGBLOC,Bigbloc Construction Limited,BE,2-Sep-16,INE412U01017,,#N/A,Hexa Tradex,Finance - Investments,34.05,-0.4,-1.16,188,Banking/Finance
BIL,Bhartiya International Limited,EQ,12-Apr-00,INE828A01016,,#N/A,Sasta Sundar,Finance - General,126,-1.5,-1.18,401,Banking/Finance
BILENERGY,Bil Energy Systems Limited,BZ,15-Feb-11,INE607L01029,,#N/A,Motor and Gen F,Finance - Leasing & Hire Purchase,19.4,-0.25,-1.27,75,Banking/Finance
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,28-Aug-96,INE143A01010,,#N/A,Karur Vysya,Banks - Private Sector,46.5,-0.65,-1.38,"3,717",Banking/Finance
BIOCON,Biocon Limited,EQ,7-Apr-04,INE376G01013,,#N/A,DB (Int) Stock,Finance - General,10.6,-0.15,-1.4,37,Banking/Finance
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,BE,12-Jun-96,INE829A01014,,#N/A,BLB,Finance - Investments,6.35,-0.1,-1.55,34,Banking/Finance
BIRLACABLE,Birla Cable Limited,EQ,6-Dec-95,INE800A01015,,#N/A,Indo Thai Secu,Finance - General,21.65,-0.35,-1.59,22,Banking/Finance
BIRLACORPN,Birla Corporation Limited,EQ,12-Apr-95,INE340A01012,,#N/A,Khandwala Sec,Finance - General,9.15,-0.15,-1.61,11,Banking/Finance
BIRLAMONEY,Aditya Birla Money Limited,EQ,7-Feb-08,INE865C01022,,#N/A,STEL Holdings,Finance - Investments,63.2,-1.1,-1.71,117,Banking/Finance
BIRLATYRE,Birla Tyres Limited,EQ,10-Feb-20,INE0AEJ01013,,#N/A,Almondz Global,Finance - Investments,16.7,-0.3,-1.76,43,Banking/Finance
BKMINDST,Bkm Industries Limited,BE,30-Mar-15,INE831Q01016,,#N/A,Onelife Capital,Finance - Investments,7.8,-0.15,-1.89,10,Banking/Finance
BLBLIMITED,BLB Limited,EQ,31-May-00,INE791A01024,,#N/A,21st Cen Mgt,Finance - General,10.25,-0.2,-1.91,11,Banking/Finance
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-Jul-10,INE416D01022,,#N/A,Palash Securiti,Finance - General,42.05,-0.95,-2.21,42,Banking/Finance
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-Mar-06,INE350H01032,,#N/A,Guj Lease Fin,Finance - Leasing & Hire Purchase,2.6,-0.1,-3.7,7,Banking/Finance
BLS,BLS International Services Limited,EQ,14-Jun-16,INE153T01027,,#N/A,Kanani Ind,Diamond Cutting & Jewellery & Precious Metals,3.8,-0.15,-3.8,38,Banking/Finance
BLUECHIP,Blue Chip India Limited,BE,12-Mar-97,INE657B01025,,IFCI Limited,IFCI,Finance - Term Lending Institutions,10.1,-0.5,-4.72,"1,915",Banking/Finance
BLUECOAST,Blue Coast Hotels Limited,BE,16-Feb-00,INE472B01011,,#N/A,Yes Bank,Banks - Private Sector,18.5,-0.95,-4.88,"46,352",Banking/Finance
BLUEDART,Blue Dart Express Limited,EQ,12-Dec-02,INE233B01017,,#N/A,Dewan Housing,Finance - Housing,39.65,-2.05,-4.92,"1,244",Banking/Finance
BLUESTARCO,Blue Star Limited,EQ,15-Jun-00,INE472A01039,,#N/A,Welspun Invest,Finance - Investments,444.15,-49.35,-10,162,Banking/Finance
BODALCHEM,Bodal Chemicals Limited,EQ,22-Aug-11,INE338D01028,,Consolidated Construction Consortium Limited,CCCL,Construction & Contracting - Civil,0.35,0.05,16.67,14,Cement/Construction
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-Apr-95,INE032A01023,,#N/A,Patel Eng,Construction & Contracting - Civil,16,1.5,10.34,688,Cement/Construction
BOROLTD,Borosil Limited,EQ,22-Jul-20,INE02PY01013,,#N/A,SPML Infra,Construction & Contracting - Civil,14.5,1.3,9.85,53,Cement/Construction
BORORENEW,BOROSIL RENEWABLES LIMITED,EQ,25-May-18,INE666D01022,,#N/A,Setubandhan Inf,Construction & Contracting - Civil,1.35,0.1,8,17,Cement/Construction
BOSCHLTD,Bosch Limited,EQ,12-May-03,INE323A01026,,#N/A,Ramky Infra,Construction & Contracting - Civil,43.4,2.15,5.21,300,Cement/Construction
BPCL,Bharat Petroleum Corporation Limited,EQ,13-Sep-95,INE029A01011,,#N/A,ILandFS Engg,Construction & Contracting - Civil,4.2,0.2,5,55,Cement/Construction
BPL,BPL Limited,EQ,14-Jun-95,INE110A01019,,#N/A,Bigbloc Constru,,146,6.95,5,207,Cement/Construction
BRFL,Bombay Rayon Fashions Limited,EQ,5-Dec-05,INE589G01011,,#N/A,Gayatri Project,Construction & Contracting - Civil,38.15,1.8,4.95,714,Cement/Construction
BRIGADE,Brigade Enterprises Limited,EQ,31-Dec-07,INE791I01019,,#N/A,C & C Construct,Construction & Contracting - Civil,5.3,0.25,4.95,13,Cement/Construction
BRITANNIA,Britannia Industries Limited,EQ,5-Nov-98,INE216A01030,,#N/A,Andhra Cement,Cement - Major,6.4,0.3,4.92,188,Cement/Construction
BRNL,Bharat Road Network Limited,EQ,18-Sep-17,INE727S01012,,#N/A,Simplex Infra,Construction & Contracting - Civil,40.75,1.9,4.89,233,Cement/Construction
BROOKS,Brooks Laboratories Limited,EQ,5-Sep-11,INE650L01011,,#N/A,MBL Infra,Construction & Contracting - Civil,13.25,0.6,4.74,139,Cement/Construction
BSE,BSE Limited,EQ,3-Feb-17,INE118H01025,,#N/A,Guj Sidhee Cem,Cement - Major,37.45,1.6,4.46,330,Cement/Construction
BSELINFRA,BSEL Infrastructure Realty Limited,EQ,7-Feb-01,INE395A01016,,#N/A,Madhucon Proj,Construction & Contracting - Civil,5,0.2,4.17,37,Cement/Construction
BSHSL,Bombay Super Hybrid Seeds Limited,EQ,28-Oct-20,INE032Z01012,,#N/A,Burnpur Cement,Cement - Major,2.6,0.1,4,22,Cement/Construction
BSL,BSL Limited,BE,27-Jul-95,INE594B01012,,#N/A,Welspun Enter,Construction & Contracting - Civil,95.35,3.65,3.98,"1,419",Cement/Construction
BSOFT,BIRLASOFT LIMITED,EQ,24-Nov-99,INE836A01035,,#N/A,Sanghi Ind,Cement - Products & Building Materials,34.2,1.3,3.95,858,Cement/Construction
BURGERKING,Burger King India Limited,EQ,14-Dec-20,INE07T201019,,#N/A,Unity Infraproj,Construction & Contracting - Civil,1.35,0.05,3.85,16,Cement/Construction
BURNPUR,Burnpur Cement Limited,EQ,3-Jan-08,INE817H01014,,#N/A,India Cements,Cement - Major,153.95,5.05,3.39,"4,771",Cement/Construction
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,EQ,28-Apr-14,INE295F01017,,#N/A,BL Kashyap,,8,0.25,3.23,180,Cement/Construction
BVCL,Barak Valley Cements Limited,BE,23-Nov-07,INE139I01011,,#N/A,Rajdarshan Ind,Ceramics & Granite,11.25,0.35,3.21,3,Cement/Construction
BYKE,The Byke Hospitality Ltd,EQ,15-Apr-15,INE319B01014,,#N/A,ARSS Infra,Construction & Contracting - Civil,19.6,0.55,2.89,45,Cement/Construction
CADILAHC,Cadila Healthcare Limited,EQ,18-Apr-00,INE010B01027,,Unitech Limited,Unitech,Construction & Contracting - Civil,1.9,0.05,2.7,497,Cement/Construction
CALSOFT,California Software Company Limited,EQ,28-Jun-00,INE526B01014,,#N/A,Kaushalya Infra,Construction & Contracting - Civil,1.95,0.05,2.63,7,Cement/Construction
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-Jan-15,INE052I01032,,#N/A,Somany Ceramics,Ceramics & Granite,306,7.5,2.51,"1,297",Cement/Construction
CAMS,Computer Age Management Services Limited,EQ,5-Oct-20,INE596I01012,,#N/A,Orient Refract,Cement - Products & Building Materials,225.5,5.4,2.45,"2,709",Cement/Construction
CANBK,Canara Bank,EQ,23-Dec-02,INE476A01014,,HSIL Limited,HSIL,Ceramics & Granite,106.9,1.9,1.81,773,Cement/Construction
CANDC,C & C Constructions Limited,BZ,26-Feb-07,INE874H01015,,#N/A,Univastu India,Construction & Contracting - Civil,32.25,0.55,1.74,37,Cement/Construction
CANFINHOME,Can Fin Homes Limited,EQ,10-May-95,INE477A01020,,#N/A,Asian Granito,Ceramics & Granite,292.45,4.6,1.6,905,Cement/Construction
CANTABIL,Cantabil Retail India Limited,EQ,12-Oct-10,INE068L01016,,#N/A,ITD Cementation,Construction & Contracting - Civil,58.15,0.9,1.57,999,Cement/Construction
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-Sep-17,INE264T01014,,#N/A,IFGL Refractory,Cement - Products & Building Materials,194.8,3,1.56,702,Cement/Construction
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-Jun-14,INE475E01026,,#N/A,Birla Corp,Cement - Major,749.15,11.35,1.54,"5,769",Cement/Construction
CAPTRUST,Capital Trust Limited,EQ,16-Jan-17,INE707C01018,,#N/A,Deccan Cements,Cement - Mini,359.25,4.85,1.37,503,Cement/Construction
CARBORUNIV,Carborundum Universal Limited,EQ,3-Apr-96,INE120A01034,,#N/A,Aro Granite,Ceramics & Granite,39.7,0.5,1.28,61,Cement/Construction
CAREERP,Career Point Limited,EQ,6-Oct-10,INE521J01018,,#N/A,Madhav Marbles,Ceramics & Granite,32.6,0.4,1.24,29,Cement/Construction
CARERATING,CARE Ratings Limited,EQ,26-Dec-12,INE752H01013,,#N/A,Star Cement,Cement - Major,94.9,1.15,1.23,"3,914",Cement/Construction
CASTEXTECH,Castex Technologies Limited,BE,27-Jun-05,INE068D01021,,#N/A,Man Infra,Construction & Contracting - Civil,33.05,0.4,1.23,818,Cement/Construction
CASTROLIND,Castrol India Limited,EQ,14-Mar-14,INE172A01027,,#N/A,Indian Hume,Cement - Products & Building Materials,194.55,2.2,1.14,943,Cement/Construction
CCCL,Consolidated Construction Consortium Limited,BE,15-Oct-07,INE429I01024,,#N/A,Prism Cement,Cement - Major,87.75,0.95,1.09,"4,417",Cement/Construction
CCHHL,Country Club Hospitality & Holidays Limited,EQ,3-Feb-15,INE652F01027,,#N/A,Everest Ind,Cement - Products & Building Materials,288.05,2.8,0.98,450,Cement/Construction
CCL,CCL Products (India) Limited,EQ,7-Jun-04,INE421D01022,,NCC Limited,NCC,Construction & Contracting - Civil,57.4,0.4,0.7,"3,501",Cement/Construction
CDSL,Central Depository Services (India) Limited,EQ,30-Jun-17,INE736A01011,,#N/A,Cera Sanitary,Ceramics & Granite,3148,21.7,0.69,"4,094",Cement/Construction
CEATLTD,CEAT Limited,EQ,1-Feb-08,INE482A01020,,#N/A,Orient Bell,Ceramics & Granite,153,1.05,0.69,219,Cement/Construction
CEBBCO,Commercial Engineers & Body Builders Co Limited,EQ,18-Oct-10,INE209L01016,,Tarmat Limited,Tarmat,Construction & Contracting - Civil,46.15,0.3,0.65,62,Cement/Construction
CELEBRITY,Celebrity Fashions Limited,EQ,12-Jan-06,INE185H01016,,#N/A,ACC,Cement - Major,1619.2,10.45,0.65,"30,407",Cement/Construction
CENTENKA,Century Enka Limited,EQ,10-May-95,INE485A01015,,#N/A,Shree Digvijay,Cement - Major,59.3,0.35,0.59,841,Cement/Construction
CENTEXT,Century Extrusions Limited,EQ,20-Jul-04,INE281A01026,,Ramco Industries Limited,Ramcoind,Cement - Products & Building Materials,223.1,1.3,0.59,"1,933",Cement/Construction
CENTRALBK,Central Bank of India,EQ,21-Aug-07,INE483A01010,,#N/A,NCL Industries,Cement - Mini,143.9,0.75,0.52,651,Cement/Construction
CENTRUM,Centrum Capital Limited,EQ,4-Apr-18,INE660C01027,,#N/A,Oriental Trimex,Ceramics & Granite,11.4,0.05,0.44,33,Cement/Construction
CENTUM,Centum Electronics Limited,EQ,5-Oct-07,INE320B01020,,#N/A,Kajaria Ceramic,Ceramics & Granite,669.5,2.9,0.44,"10,642",Cement/Construction
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-Mar-06,INE348B01021,,HIL Limited,HIL,Cement - Products & Building Materials,2055,8.7,0.43,"1,540",Cement/Construction
CENTURYTEX,Century Textiles & Industries Limited,EQ,27-Jun-03,INE055A01016,,#N/A,Mangalam Cement,Cement - Major,223.5,0.9,0.4,597,Cement/Construction
CERA,Cera Sanitaryware Limited,EQ,2-Nov-07,INE739E01017,,#N/A,Ambuja Cements,Cement - Major,246.75,0.95,0.39,"48,996",Cement/Construction
CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,26-Jun-13,INE345B01019,,#N/A,Mukund Engg,Construction & Contracting - Civil,14,0.05,0.36,18,Cement/Construction
CESC,CESC Limited,EQ,8-Feb-95,INE486A01013,,#N/A,Karda Construct,,125.6,0.35,0.28,772,Cement/Construction
CESCVENT,CESC Ventures Limited,EQ,25-Jan-19,INE425Y01011,,#N/A,Shree Cements,Cement - Major,23870.85,65.85,0.28,"86,128",Cement/Construction
CGCL,Capri Global Capital Limited,EQ,29-Oct-10,INE180C01026,,#N/A,KNR Construct,Construction & Contracting - Civil,296.25,0.75,0.25,"4,166",Cement/Construction
CGPOWER,CG Power and Industrial Solutions Limited,EQ,1-Mar-95,INE067A01029,,#N/A,UltraTechCement,Cement - Major,5026,11,0.22,"145,069",Cement/Construction
CHALET,Chalet Hotels Limited,EQ,7-Feb-19,INE427F01016,,#N/A,JK Lakshmi Cem,Cement - Major,344.35,0.6,0.17,"4,052",Cement/Construction
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-Jun-95,INE085A01013,,#N/A,Sagar Cement,Cement - Mini,720,1.25,0.17,"1,692",Cement/Construction
CHEMBOND,Chembond Chemicals Ltd,EQ,20-Nov-19,INE995D01025,,#N/A,Kakatiya Cement,Cement - Mini,188,0.3,0.16,146,Cement/Construction
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,1-Oct-20,INE03YM01018,,#N/A,Barak Vally Cem,Cement - Major,17,0,0,38,Cement/Construction
CHEMFAB,Chemfab Alkalis Limited,EQ,25-Apr-18,INE783X01023,,#N/A,Jaihind Project,Construction & Contracting - Civil,1.6,0,0,2,Cement/Construction
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,7-Jun-00,INE178A01016,,#N/A,Murudeshwar Cer,Ceramics & Granite,19.2,0,0,91,Cement/Construction
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-May-96,INE121A01024,,#N/A,Noida Toll,Construction & Contracting - Civil,6.55,0,0,122,Cement/Construction
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-Sep-17,INE149A01033,,#N/A,Rain Industries,Cement - Major,135.1,0,0,"4,544",Cement/Construction
CHROMATIC,Chromatic India Limited,EQ,29-May-12,INE662C01015,,#N/A,Supreme Infra,Construction & Contracting - Civil,10.5,0,0,27,Cement/Construction
CIGNITITEC,Cigniti Technologies Limited,EQ,13-Oct-14,INE675C01017,,#N/A,Mahindra Life,Construction & Contracting - Civil,337.35,-0.55,-0.16,"1,733",Cement/Construction
CINELINE,Cineline India Limited,EQ,13-Jun-12,INE704H01022,,#N/A,Ahluwalia,Construction & Contracting - Civil,257.15,-0.5,-0.19,"1,723",Cement/Construction
CINEVISTA,Cinevista Limited,EQ,2-May-00,INE039B01026,,#N/A,J Kumar Infra,Construction & Contracting - Civil,135,-0.3,-0.22,"1,021",Cement/Construction
CIPLA,Cipla Limited,EQ,8-Feb-95,INE059A01026,,#N/A,IRB InvIT,Construction & Contracting - Civil,42.86,-0.14,-0.33,"2,488",Cement/Construction
CKFSL,Cox & Kings Financial Service Limited,BZ,11-Apr-19,INE391Z01012,,#N/A,Ramco Cements,Cement - Major,842.2,-3,-0.35,"19,864",Cement/Construction
CLEDUCATE,CL Educate Limited,EQ,31-Mar-17,INE201M01011,,#N/A,RPP Infra Proj,Construction & Contracting - Civil,52.15,-0.2,-0.38,118,Cement/Construction
CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-Jun-95,INE492A01029,,#N/A,Vesuvius India,Cement - Products & Building Materials,1024.5,-4.1,-0.4,"2,079",Cement/Construction
CMICABLES,CMI Limited,EQ,29-Nov-16,INE981B01011,,#N/A,Visaka Ind,Cement - Products & Building Materials,387.95,-1.9,-0.49,639,Cement/Construction
CNOVAPETRO,CIL Nova Petrochemicals Limited,EQ,1-Jan-14,INE672K01025,,#N/A,PSP Projects,,398,-2,-0.5,"1,433",Cement/Construction
COALINDIA,Coal India Limited,EQ,4-Nov-10,INE522F01014,,#N/A,Dilip Buildcon,Construction & Contracting - Civil,391.75,-2.2,-0.56,"5,358",Cement/Construction
COCHINSHIP,Cochin Shipyard Limited,EQ,11-Aug-17,INE704P01017,,KCP Limited,KCP,Cement - Major,69.9,-0.4,-0.57,901,Cement/Construction
COFORGE,Coforge Limited,EQ,30-Aug-04,INE591G01017,,#N/A,J. K. Cement,Cement - Major,1936.8,-12,-0.62,"14,965",Cement/Construction
COLPAL,Colgate Palmolive (India) Limited,EQ,17-Dec-07,INE259A01022,,#N/A,Orient Cement,Cement - Major,77.95,-0.55,-0.7,"1,597",Cement/Construction
COMPINFO,Compuage Infocom Limited,EQ,7-Jul-16,INE070C01037,,#N/A,Anjani Cement,Cement - Mini,207.55,-1.5,-0.72,525,Cement/Construction
COMPUSOFT,Compucom Software Limited,EQ,2-Mar-12,INE453B01029,,#N/A,Capacite Infra,,187,-1.4,-0.74,"1,270",Cement/Construction
CONCOR,Container Corporation of India Limited,EQ,7-May-97,INE111A01025,,#N/A,Heidelberg Cem,Cement - Major,206.95,-1.55,-0.74,"4,690",Cement/Construction
CONFIPET,Confidence Petroleum India Limited,EQ,13-Jun-19,INE552D01024,,#N/A,GPT Infra,Construction & Contracting - Civil,37.7,-0.3,-0.79,110,Cement/Construction
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-Mar-05,INE025A01027,,Nitco Limited,Nitco,Ceramics & Granite,24.7,-0.2,-0.8,177,Cement/Construction
CONTROLPR,Control Print Limited,EQ,24-Jun-16,INE663B01015,,#N/A,Ashoka Buildcon,Construction & Contracting - Civil,95.45,-0.95,-0.99,"2,680",Cement/Construction
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-Mar-96,INE558D01021,,Pokarna Limited,Pokarna,Ceramics & Granite,179.1,-1.8,-1,555,Cement/Construction
CORDSCABLE,Cords Cable Industries Limited,EQ,13-Feb-08,INE792I01017,,#N/A,Hind Constr,Construction & Contracting - Civil,8.05,-0.15,-1.83,"1,218",Cement/Construction
COROMANDEL,Coromandel International Limited,EQ,31-May-95,INE169A01031,,#N/A,JMC Projects,Construction & Contracting - Civil,66.55,-1.3,-1.92,"1,117",Cement/Construction
COSMOFILMS,Cosmo Films Limited,EQ,25-May-95,INE757A01017,,#N/A,Pushpanjali Rea,Construction & Contracting - Civil,4.45,-0.2,-4.3,4,Cement/Construction
